latitude,longitude,elev,ilplat,ilplng,iso
42.0350,80.1283,24406,38.5975,75.3367,558.0152
-11.4233,-151.8258,95,-16.4367,-152.2525,556.5795
13.1583,93.0058,2402,17.9000,94.7108,555.6309
34.7917,99.4675,20610,31.8150,94.7000,553.1729
5.3108,162.9933,2064,6.8400,158.2433,552.3228
15.2800,43.9783,12028,12.8658,39.5042,552.0729
38.5317,35.4508,12851,40.8275,41.1467,550.9821
-38.1583,-61.9517,4065,-41.3150,-66.7567,540.6660
-25.0708,-130.1100,1138,-23.1292,-134.9717,538.9998
41.4092,-122.1950,14162,37.6342,-118.2558,538.7469
5.1408,-60.7633,9219,3.6217,-65.3742,538.6350
-5.7800,145.0300,14793,-4.7175,140.2967,537.7021
59.8250,92.8542,3687,55.0892,94.3083,534.5623
-78.0608,162.6850,13205,-82.8392,161.2992,534.1331
-9.0783,34.0208,9777,-4.4550,35.3883,533.1591
-23.8575,-147.6483,1434,-27.5933,-144.3758,528.2604
63.4317,-130.3242,9685,60.9942,-139.0342,527.7408
37.0533,-3.3117,11414,32.4950,-4.9058,526.2970
67.5817,128.1400,7904,66.7367,140.0550,523.9965
23.2383,57.2633,9902,27.8817,56.3533,522.4542
-13.9925,-47.4875,5548,-15.2417,-42.8317,520.2896
7.0000,80.7742,8281,10.1492,77.2750,519.2718
7.0008,80.7742,8281,10.1492,77.2750,519.2097
53.6467,-58.5525,3891,57.8792,-62.0225,518.9813
5.5250,-87.0808,1886,8.4975,-83.4875,515.4221
66.0992,-90.4042,2053,70.1108,-84.3600,512.8052
-19.8667,158.3075,29,-18.1433,162.8167,511.6196
49.1642,20.1342,8707,47.3350,13.8325,510.0716
67.7258,33.4733,3940,69.5283,21.9358,509.6718
67.7267,33.4717,3940,69.5283,21.9358,509.5652
-8.0642,178.3750,88,-12.5008,177.1358,509.1533
-51.6917,-58.8342,2313,-54.7792,-64.4417,507.9081
42.6308,0.6567,11168,44.9308,6.1058,507.5069
6.4950,-72.2967,17749,10.8133,-73.6150,499.1452
-21.0150,148.6008,4167,-17.3967,145.8442,494.3904
80.8008,58.4950,2037,76.6392,66.3283,494.1174
27.8608,117.7842,7119,24.5108,121.0125,491.7639
18.7925,-110.9733,3445,23.1150,-109.9192,490.9617
-27.1808,18.7292,7224,-22.9300,17.3850,490.0122
22.4492,78.3717,4429,20.3608,74.2083,489.6674
-41.8708,146.0333,5305,-37.5092,146.8100,488.8295
-14.1917,-141.1825,72,-10.5525,-138.6575,487.2820
-14.1908,-141.1833,72,-10.5525,-138.6575,487.2572
-14.1892,-141.1817,72,-10.5525,-138.6575,487.0042
-12.4975,177.0675,837,-16.6392,178.5542,485.4344
72.5275,-37.4533,10623,68.9425,-29.9683,485.0606
69.2425,-121.5400,2854,65.3233,-126.4108,484.5684
-34.3808,-54.6733,1686,-30.5467,-52.2108,484.0850
76.6525,148.5883,1361,72.8417,140.8642,481.1988
-13.3450,29.6117,6151,-12.0292,33.8325,481.0013
21.2342,93.9017,10042,25.4958,94.7517,479.9061
59.6317,59.1350,5151,63.9175,59.1800,477.6271
-49.5950,69.4967,6070,-53.0783,73.4925,477.0469
-61.2850,-54.1458,7546,-62.9858,-62.4908,474.3504
-60.5808,-45.4783,4248,-61.2258,-54.1058,473.3514
59.8358,44.6100,997,58.7767,52.6083,470.3212
-73.5750,-94.0592,5255,-77.2867,-86.1192,469.6035
12.5750,54.0225,4931,11.2725,49.9225,469.2768
-54.6592,-69.5967,8465,-50.9733,-72.9608,468.5809
-20.7058,-143.0442,72,-20.7800,-138.5483,468.2866
-20.7075,-143.0433,72,-20.7800,-138.5483,468.1940
12.5617,54.0175,4931,11.0558,50.0025,468.1674
43.1842,-109.6542,13804,40.2567,-105.6183,467.3365
52.3217,-70.4458,3740,48.8908,-66.6392,467.0536
51.7192,100.5967,11453,47.9000,97.9400,465.7675
29.8958,-89.9983,826,33.1533,-86.9308,463.9864
53.1108,-119.1567,12989,51.3758,-125.2650,459.5304
-1.3350,176.4375,65,0.8450,172.9783,454.2722
-1.3308,176.4342,65,0.8450,172.9783,453.7134
64.9925,-165.3292,4714,68.5675,-160.4042,453.4790
30.3358,130.5042,6352,33.7675,133.1158,453.4267
67.4125,-154.9658,8276,69.0817,-144.9575,453.3417
-8.4633,-55.6025,2506,-7.7950,-51.5550,452.1461
-1.0358,-53.9017,2765,2.5675,-55.8067,451.3270
79.5892,99.1500,3166,75.9908,107.8833,450.4933
-32.0025,151.4475,5239,-35.4450,148.8675,450.4817
79.5383,98.7467,3166,75.9908,107.8833,450.0606
32.7592,-16.9433,6109,28.7775,-17.8475,449.8319
53.0800,70.1883,3005,50.7750,75.5500,449.0400
66.0250,163.2367,5961,62.7808,157.7408,448.0448
48.8333,-58.4842,2664,51.2517,-63.4733,447.1403
62.2967,-7.0133,2894,64.8633,-13.9283,446.5740
-20.7800,-138.5483,88,-23.1542,-135.0592,446.0402
42.4692,13.5658,9554,46.2792,11.8308,445.3481
-50.8958,166.0217,2313,-47.0875,167.7975,442.9820
-15.5458,-72.6608,21014,-15.8542,-68.5408,442.9425
28.1942,13.9767,3901,24.9867,11.3267,442.6541
14.8400,-17.0000,459,11.8067,-14.3725,440.0345
35.2275,24.7708,8058,38.6342,22.2450,439.9171
48.4658,107.4125,9146,46.6658,102.2050,439.8746
9.5350,138.1050,571,7.5992,134.6208,439.2451
-24.9517,148.1192,4097,-21.0150,148.6008,438.7491
-82.4667,-103.9000,9915,-85.7025,-126.3867,437.9633
32.3675,50.0867,14921,35.9367,52.1150,437.8443
-15.8900,54.5250,29,-15.4417,50.4708,437.4634
-15.8883,54.5217,29,-15.4417,50.4708,437.0892
-15.8875,54.5192,29,-15.4417,50.4708,436.8131
0.9325,173.0350,75,-0.8483,169.5408,435.9568
57.3467,-124.0925,9921,54.0600,-120.3258,435.7218
-5.6267,-155.9000,39,-8.9425,-157.9283,429.6774
6.9608,73.2092,68,8.9183,76.5742,429.5448
48.4242,75.4708,5082,47.4442,81.0300,429.3262
-5.6592,-155.8742,39,-8.9425,-157.9283,428.1143
-5.6400,-155.9117,39,-8.9425,-157.9283,427.7463
-5.6317,-155.9275,39,-8.9425,-157.9283,427.6280
-5.6550,-155.8917,39,-8.9425,-157.9283,427.4864
0.8450,172.9775,75,-0.8483,169.5408,425.9154
-19.0808,-169.9408,311,-18.5875,-173.9242,423.3536
23.2058,-104.9442,10997,25.1950,-101.3883,423.1008
-82.6233,-52.8125,7054,-84.8533,-24.0000,422.9162
48.4700,58.4883,2132,52.2333,57.6625,422.7190
43.6958,134.1992,6069,47.1092,136.5308,420.9469
12.0325,104.1708,5948,11.8492,108.0250,420.3071
43.0733,94.3467,16030,39.3225,93.6858,420.2311
33.7675,133.1158,6503,36.0858,136.7525,420.1320
-7.2392,109.2200,11247,-8.1067,112.9175,419.0664
4.6325,102.2350,7185,2.5900,99.0800,416.9654
44.0725,52.5608,1758,42.0525,48.2492,416.7042
18.8100,97.0375,8606,21.1542,93.9633,413.3233
20.5258,31.5283,3933,22.7167,34.6858,407.0511
10.7350,47.2450,8071,13.7658,45.1250,406.9414
-40.3092,-9.9467,2986,-37.1367,-12.2808,406.4519
0.2692,6.5417,6640,3.3458,8.5325,405.9426
48.9875,-65.9483,4160,45.9417,-68.9183,405.9019
-4.7825,-40.1325,3786,-7.8100,-38.0617,405.6897
19.5633,-103.6083,13976,19.1100,-99.7825,405.1226
-3.8600,-32.4217,732,-5.3808,-35.7350,404.2752
18.8983,109.7042,6037,16.1367,107.2217,403.6002
51.9992,-9.7425,3409,53.0683,-4.0775,402.2789
11.9833,31.0708,4757,10.6292,34.4867,401.8652
27.8817,108.6817,8432,26.9892,104.7800,398.2100
47.3167,-80.7492,2274,46.6900,-75.5992,397.7329
-26.5117,-105.2850,98,-27.1050,-109.2283,397.5112
53.8525,27.0625,1161,50.3683,25.8608,396.3129
53.8517,27.0608,1161,50.3683,25.8608,396.1987
53.8508,27.0642,1161,50.3683,25.8608,396.1556
35.3467,-111.6783,12633,37.4208,-108.0900,395.7189
57.6683,-105.2750,2762,57.7725,-111.8900,394.2198
57.6667,-105.2775,2762,57.7725,-111.8900,394.0860
57.6658,-105.2800,2762,57.7725,-111.8900,393.9445
21.9850,-80.1325,3740,19.9692,-77.0108,393.9084
18.1725,-66.5917,4390,18.4392,-70.3042,393.5902
-13.2733,-163.1992,68,-10.4608,-161.0008,392.6215
-10.8925,-165.8733,65,-13.2733,-163.1992,392.5671
-73.4558,61.4642,11007,-74.8650,49.6767,391.3272
-8.1075,112.9225,12060,-8.4100,116.4575,390.8926
18.3625,-114.6983,941,18.7858,-111.0225,390.8207
-16.7192,59.5667,68,-19.8167,57.8067,390.0830
-20.8875,139.8842,1998,-19.8183,143.4392,389.5847
-18.3000,32.8417,8504,-15.9558,35.5717,389.4623
30.3758,79.9708,25643,28.7008,83.4858,387.9794
64.6017,50.3467,1545,63.6392,57.9983,387.6555
31.9758,13.3200,3149,28.5250,13.9658,387.5641
45.6008,24.7358,8346,42.1925,23.7392,387.0686
-2.7133,115.6258,6207,0.4450,114.1300,386.8712
2.9233,-76.0283,17684,0.0292,-77.9742,386.3798
-22.4283,-44.8425,9180,-20.4408,-41.8017,384.4211
62.5800,140.8975,9708,65.1767,146.0075,382.9809
-17.3292,-138.3442,59,-20.7775,-138.5517,382.3293
28.6000,61.1325,12930,29.9817,57.5308,381.9698
-25.2508,-48.8000,6158,-22.9008,-46.0558,381.5780
-17.3433,-138.3533,59,-20.7775,-138.5517,380.7097
-7.0925,37.6183,8704,-4.4600,35.4092,380.2689
39.7033,44.2992,16854,43.0000,43.1142,379.3135
36.2808,59.0492,10873,36.6117,54.8508,378.1485
71.8583,-112.5892,2135,71.1383,-122.9242,374.3943
9.9342,9.0342,5748,7.1967,11.0325,374.2310
48.2283,38.9158,1194,44.9767,37.6550,374.1396
71.8583,-112.5975,2135,71.1383,-122.9242,374.1068
